notice_id_a,notice_id_b,label,raw_words,cleaned_words,cleaned_3_shingles
N003816,N009648,different,0.5654885654885655,0.5875831485587583,0.4670391061452514
N000883,N003126,different,0.32264150943396225,0.32323232323232326,0.14313725490196078
N010748,N011807,different,0.47761194029850745,0.4744897959183674,0.27710843373493976
N006050,N007874,different,0.3870481927710843,0.3950819672131147,0.19877675840978593
N011687,N011688,same,0.99375,0.9932659932659933,0.9879275653923542
N000036,N011140,different,0.4312590448625181,0.4462025316455696,0.2361308677098151
N000051,N000052,same,0.9930555555555556,0.9923954372623575,0.9675174013921114
N001105,N007889,different,0.30124777183600715,0.30228136882129275,0.12075471698113208
N004491,N004492,same,0.6785714285714286,0.6626506024096386,0.5421836228287841
N004978,N009682,different,0.374,0.39514348785871967,0.21212121212121213
N008379,N008380,same,0.9423631123919308,0.9430379746835443,0.8962432915921288
N001189,N011628,different,0.3408239700374532,0.35330578512396693,0.18451749734888653
N000183,N001889,different,0.6267605633802817,0.6417910447761194,0.5416666666666666
N006225,N006227,same,0.32547169811320753,0.3333333333333333,0.24010217113665389
N002447,N007313,different,0.4192708333333333,0.42363112391930835,0.24464831804281345
N005321,N005322,same,0.9564032697547684,0.9607250755287009,0.9391891891891891
N004563,N004564,same,0.5653846153846154,0.5690721649484536,0.4194871794871795
N001497,N001498,same,0.6360294117647058,0.6307385229540918,0.48934010152284263
N002729,N008105,different,0.4989561586638831,0.5151515151515151,0.32590855803048063
N000314,N008220,different,0.42625368731563423,0.4543973941368078,0.23943661971830985
N001902,N009227,different,0.5893719806763285,0.5989583333333334,0.45646067415730335
N001376,N009439,different,0.5642458100558659,0.5852156057494866,0.4104938271604938
N003019,N009498,different,0.38403614457831325,0.3898858075040783,0.2054380664652568
N003883,N004988,different,0.34307692307692306,0.35353535353535354,0.18459069020866772
N004822,N007764,different,0.4485049833887043,0.4805194805194805,0.25903614457831325
N000255,N007615,different,0.5140712945590994,0.5265306122448979,0.3538306451612903
N005676,N011302,different,0.4227053140096618,0.4266666666666667,0.2699300699300699
N003403,N007889,different,0.33783783783783783,0.3424908424908425,0.15956482320942883
N002476,N005891,different,0.33878887070376434,0.3456140350877193,0.16461916461916462
N004988,N009224,different,0.38738738738738737,0.3941368078175896,0.20906994619523445
