notice_id_a,notice_id_b,label,exact,estimate,abs_error
N004410,N006730,different,0.149800796812749,0.16015625,0.010355453187251007
N006041,N011988,different,0.16342412451361868,0.1640625,0.0006383754863813207
N004913,N010317,different,0.346711259754738,0.359375,0.012663740245262012
N007995,N007997,same,0.6515151515151515,0.69921875,0.04770359848484851
N001334,N006274,different,0.17820945945945946,0.18359375,0.005384290540540543
N004939,N011284,different,0.13028169014084506,0.14453125,0.014249559859154937
N005634,N006584,different,0.26329113924050634,0.296875,0.033583860759493656
N003301,N003302,same,0.6022304832713755,0.61328125,0.011050766728624484
N002267,N010375,different,0.2833333333333333,0.3125,0.029166666666666674
N003158,N007300,different,0.25107851596203623,0.26953125,0.01845273403796377
N002085,N007988,different,0.29603399433427763,0.3203125,0.024278505665722372
N001118,N001120,same,0.9399141630901288,0.94921875,0.009304586909871237
N000030,N006079,different,0.30604026845637583,0.26953125,0.03650901845637583
N005137,N009628,different,0.290956749672346,0.328125,0.03716825032765397
N004055,N008225,different,0.14681440443213298,0.1640625,0.017248095567867022
N001879,N004065,different,0.19655442443226312,0.23046875,0.03391432556773688
N000486,N011101,different,0.33104395604395603,0.36328125,0.032237293956043966
N007430,N010330,different,0.4713493530499076,0.5390625,0.0677131469500924
N006041,N009700,different,0.4203480589022758,0.4140625,0.0062855589022757785
N000297,N003849,different,0.17911714770797962,0.19140625,0.012289102292020376
N003611,N007188,different,0.287012987012987,0.32421875,0.037205762987013
N009978,N009979,same,0.4671689989235737,0.5234375,0.05626850107642628
